title,total_sales,Publisher,Developer,Platform,Japan_sales,Na_sales,Other_sales,Pal_sales
NBA 2K13,2.63,2K Sports,Visual Concepts,Play Station ,0.05,1.74,0.39,0.46
NBA 2K19,2.63,2K Sports,Visual Concepts,Play Station ,0.03,1.69,0.47,0.44
FIFA Soccer 10,2.62,EA Sports,EA Canada,X box,0.01,0.6,0.23,1.79
LittleBigPlanet,2.61,Sony Computer Entertainment,SCEE Cambridge,Play Station,0.01,0.65,0.68,1.27
Harry Potter and the Chamber of Secrets,2.61,Electronic Arts,Eurocom Entertainment Software,Play Station ,0.04,0.9,0.44,1.22
Streets of Rage,2.6,Sega,Sega,GEN,0.11,1.86,0.08,0.55
Grand Theft Auto: Episodes from Liberty City,2.6,Rockstar Games,Rockstar North,X box,0.03,1.08,0.27,1.22
FIFA Soccer 09,2.59,Electronic Arts,EA Canada,Play Station ,0.04,0.49,0.43,1.63
WWE SmackDown vs. RAW 2007,2.58,THQ,Yuke's,Play Station ,0.03,1.4,0.26,0.88
NBA 2K14,2.57,2K Sports,Visual Concepts,X box,0,2.11,0.27,0.19
